overall_building_condition,max_mph,age_yrs,number_of_stories,roof_shape,roof_cover,wall_cladding,structural_framing_system
0,80,14.0,1.0,Complex,Tile (clay),Stucco,Wood-frame
1,80,29.0,2.0,Gable,Tile (clay),Stucco,Wood-frame
0,85,27.0,2.0,Complex,Tile (clay),Stucco,Wood-frame
1,85,24.0,1.0,Hip,Asphalt shingles (laminated),Stucco,Wood-frame
1,85,30.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,33.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,80,34.0,2.0,Complex,Asphalt shingles (laminated),Stucco,Wood-frame
0,80,34.0,2.0,Complex,Asphalt shingles (laminated),Stucco,Wood-frame
0,85,6.0,2.0,Hip,Tile (clay),Stucco,Wood-frame
1,85,33.0,2.0,Hip,Tile (concrete),Stucco,Wood-frame
1,85,31.0,2.0,Gable,Tile (clay),Stucco,Wood-frame
0,90,4.0,2.0,Complex,Tile (clay),Stucco,Wood-frame
0,90,26.0,2.0,Hip,Tile (clay),Stucco,Wood-frame
0,90,26.0,2.0,Hip,Asphalt shingles (laminated),Stucco,Wood-frame
1,95,5.0,2.0,Gable/Hip,Standing Seam Metal,Fiber cement,Wood-frame
1,80,12.0,2.0,Hip,Standing Seam Metal,Fiber cement,Wood-frame
1,80,18.0,2.0,Other,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,44.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,80,15.0,1.0,Hip,Standing Seam Metal,Fiber cement,Wood-frame
1,80,39.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,36.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,39.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,33.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,80,49.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,33.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,18.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,12.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,22.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,54.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,95,22.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,16.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,16.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,23.0,2.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,18.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,13.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,21.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,80,39.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,65,10.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,17.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,65,8.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,65,35.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,65,39.0,2.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,80,7.0,2.0,Hip,Standing Seam Metal,Fiber cement,Wood-frame
1,65,35.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,65,13.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,65,42.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,70,41.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,65,35.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,70,34.0,1.0,Complex,Standing Seam Metal,Wood Siding,Reinforced concrete
1,65,16.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,65,18.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,85,44.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,85,10.0,3.0,Hip,Standing Seam Metal,Wood Siding,Wood-frame
1,5,19.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,17.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,5,40.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,41.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,24.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,5,24.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,5,24.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,24.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,26.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,5,25.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,24.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,24.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,25.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,5,27.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,5,25.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,5,25.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,55,57.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,53.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,55,53.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,55,53.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,53.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,53.0,2.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,56.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,55,56.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,20,11.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,25,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,50,22.0,1.0,Gable/Hip,Asphalt shingles (laminated),Stucco,Wood-frame
1,60,41.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,55,20.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,65,33.0,1.0,Gable,Asphalt shingles (3-tab),Stucco,Wood-frame
1,65,19.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,55,5.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,5.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,4.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,70,3.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,41.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,55,4.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,10.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,10.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,10.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,55,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,70,3.0,1.0,Gable/Hip,Asphalt shingles (laminated),Stucco,Wood-frame
0,55,11.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,55,5.0,2.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,70,22.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,70,27.0,1.0,Gable,Asphalt shingles (laminated),Stucco,Wood-frame
0,55,3.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,4.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,70,27.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,10.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,4.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,10.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,4.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,10.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,12.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,70,23.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,55,12.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,70,23.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,15.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,15.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,55,15.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,55,14.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,14.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,55,14.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,20.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,20.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,20.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,16.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,55,14.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,14.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,55,14.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,18.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,21.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,19.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,14.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,20.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,19.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,21.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,21.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,55,17.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,17.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,55,18.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,55,18.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,60,17.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,55,17.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,18.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,55,17.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,18.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,60,17.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,19.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,60,18.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,60,18.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,19.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,60,17.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,60,11.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,60,13.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,60,13.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,60,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,60,13.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,60,6.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,6.0,2.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,5.0,2.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,5.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,5.0,2.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,5.0,2.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,4.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,5.0,1.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,3.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,2.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,5.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,3.0,1.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,60,3.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,80,47.0,2.0,Gable,Slate,Wood Siding,Wood-frame
1,80,45.0,1.5,Gable,Standing Seam Metal,Brick Veneer,Wood-frame
0,80,52.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,41.0,1.0,Gable,Asphalt shingles (3-tab),EIFS,Wood-frame
2,80,43.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,80,54.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,50.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,50.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,36.0,1.0,Hip,Asphalt shingles (3-tab),EIFS,Wood-frame
1,80,44.0,1.0,Gable,Asphalt shingles (3-tab),EIFS,Wood-frame
0,80,50.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,52.0,2.0,Gable,Asphalt shingles (laminated),Fiber cement,Wood-frame
1,80,43.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,45.0,2.0,Complex,Tile (clay),Stucco,Wood-frame
1,80,45.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,18.0,2.0,Complex,Standing Seam Metal,Stucco,Wood-frame
2,80,37.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,85,2.0,3.0,Gable,Standing Seam Metal,Fiber cement,Wood-frame
2,80,59.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,80,35.0,2.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,80,79.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,80,79.0,1.0,Gable,Asphalt shingles (laminated),Fiber cement,Wood-frame
2,80,79.0,1.0,Gable,Asphalt shingles (laminated),Fiber cement,Wood-frame
1,80,79.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,80,79.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,10.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,13.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,13.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,80,5.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,52.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,85,50.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,85,51.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,85,50.0,1.0,Hip,Standing Seam Metal,Brick Veneer,Wood-frame
1,85,51.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,85,51.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,50,18.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,50,19.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,15.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,50,15.0,1.0,Gable/Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,100,6.0,2.0,Hip,Standing Seam Metal,Wood Siding,Wood-frame
0,100,11.0,2.0,Complex,Standing Seam Metal,Stucco,Concrete
1,100,43.0,2.0,Complex,Tile (concrete),Stucco,Wood-frame
1,100,43.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,23.0,2.0,Gable/Hip,Tile (clay),Stucco,Wood-frame
0,50,34.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,50,39.0,1.0,Gable,Tile (clay),Brick Veneer,Wood-frame
0,50,32.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,50,37.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,100,10.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,46.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,50,32.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,34.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,9.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,45,13.0,1.0,Complex,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,85,50.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,100,34.0,12.0,Other,Tile (concrete),Stucco,Masonry
1,95,41.0,2.0,Hip,Metal shingle,Wood Siding,Wood-frame
