overall_building_condition,max_mph,age_yrs,number_of_stories,roof_shape,roof_cover,wall_cladding,structural_framing_system
1,100,32.0,1.0,Gable,Metal shingle,Curtain Wall,Wood-frame
2,105,42.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,44.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,100,14.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,37.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,90,53.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,46.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,37.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,100,14.0,1.0,Flat,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,70,72.0,1.0,Gable,Metal shingle,Wood Siding,Wood-frame
1,105,22.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,70,65.0,1.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
1,105,23.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,85,55.0,1.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Masonry
1,105,46.0,2.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,100,46.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,100,7.0,1.0,Hip,Metal shingle,Vinyl Siding,Wood-frame
1,105,28.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,110,41.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,20.0,2.0,Complex,Metal shingle,Stucco,Wood-frame
0,85,51.0,1.0,Gable,Metal shingle,Wood Siding,Wood-frame
2,95,41.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,105,31.0,1.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
1,105,24.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,95,38.0,1.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,90,38.0,1.0,Gable,Tile (clay),Brick Veneer,Wood-frame
1,105,43.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,36.0,2.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,95,22.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,70,50.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
1,95,45.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,100,43.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,18.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,49.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,142.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,85,20.0,2.0,Flat,Continuous Surface,Brick Veneer,Reinforced concrete
0,85,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,40.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,100,17.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,79.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,90,38.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,23.0,2.0,Flat,Continuous Surface,Stucco,Wood-frame
1,105,3.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,47.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,13.0,2.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,95,24.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,80,6.0,2.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,100,36.0,2.0,Hip,Tile (concrete),Stucco,Wood-frame
1,85,37.0,2.0,Complex,Metal shingle,Wood Siding,Wood-frame
1,80,5.0,1.0,Gable,Metal shingle,Stucco,Wood-frame
1,85,20.0,2.0,Complex,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,80,62.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,32.0,2.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,105,47.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,0.0,1.0,Gable/Hip,Metal shingle,Wood Siding,Wood-frame
0,95,33.0,2.0,Gable,Metal shingle,Stucco,Wood-frame
1,90,0.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,95,30.0,1.0,Gable,Continuous Surface,Hardie Board Siding,Wood-frame
1,100,14.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,32.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,95,34.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,33.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,16.0,1.0,Complex,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,85,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,34.0,2.0,Gable,Tile (concrete),Stucco,Wood-frame
1,105,55.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,31.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,37.0,2.0,Hip,Tile (concrete),Stucco,Wood-frame
1,90,41.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
1,90,38.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,15.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,105,48.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,85,13.0,2.0,Complex,Metal shingle,Wood Siding,Wood-frame
0,95,0.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,70,20.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
2,80,42.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,90,1.0,1.0,Gable,Continuous Surface,Wood Siding,Wood-frame
2,105,35.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,100,44.0,2.0,Hip,Metal shingle,Stucco,Wood-frame
2,95,39.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,100,7.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,90,43.0,2.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,105,50.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,37.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,37.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,105,34.0,1.0,Gable,Metal shingle,Vinyl Siding,Wood-frame
0,80,20.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,48.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,105,33.0,2.0,Gable,Asphalt shingles (3-tab),Stucco,Wood-frame
1,95,40.0,1.0,Hip,Tile (concrete),Stucco,Wood-frame
2,95,41.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,43.0,1.0,Gable,Continuous Surface,Wood Siding,Wood-frame
0,95,38.0,2.0,Hip,Tile (concrete),Wood Siding,Wood-frame
1,105,34.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,49.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,12.0,1.0,Hip,Metal shingle,Wood Siding,Wood-frame
1,105,44.0,2.0,Gable,Metal shingle,Vinyl Siding,Wood-frame
2,105,34.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,72.0,1.0,Hip,Shingles-Wood,Wood Siding,Wood-frame
1,95,7.0,2.0,Complex,Metal shingle,Hardie Board Siding,Wood-frame
2,85,50.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,43.0,1.0,Flat,Continuous Surface,Hardie Board Siding,Wood-frame
2,105,40.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,32.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,90,38.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,38.0,2.0,Gambrel,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,72.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,100,49.0,3.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,100,34.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,105,13.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,110,41.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,27.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,100,43.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,100,13.0,2.0,Complex,Tile (clay),Stucco,Wood-frame
0,100,41.0,2.0,Gable,Asphalt shingles (3-tab),Stucco,Wood-frame
1,105,10.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,12.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,42.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,27.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,7.0,2.0,Complex,Continuous Surface,Brick Veneer,Wood-frame
0,95,39.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,105,43.0,2.0,Gable,Metal shingle,Vinyl Siding,Wood-frame
1,85,6.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,21.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,110,11.0,2.0,Complex,Metal shingle,Stucco,Wood-frame
2,100,13.0,1.0,Gable,Metal shingle,Wood Siding,Wood-frame
1,100,67.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,90,19.0,2.0,Gable,Metal shingle,Wood Siding,Wood-frame
0,110,38.0,2.0,Hip,Continuous Surface,Wood Siding,Wood-frame
1,85,18.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,85,20.0,1.0,Gable,Metal shingle,Vinyl Siding,Wood-frame
1,105,45.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,16.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,9.0,2.0,Gable/Hip,Metal shingle,Wood Siding,Wood-frame
1,95,47.0,1.0,Gable,Continuous Surface,Hardie Board Siding,Wood-frame
1,95,46.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,60.0,1.0,Gable,Metal shingle,Brick Veneer,Wood-frame
2,85,39.0,2.0,Gambrel,Shingles-Wood,Wood Siding,Wood-frame
2,85,57.0,2.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,90,42.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,39.0,2.0,Hip,Tile (concrete),Stucco,Wood-frame
1,85,19.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
0,85,11.0,1.0,Gable,Metal shingle,Wood Siding,Wood-frame
1,95,42.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,38.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,42.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,45.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,36.0,2.0,Hip,Tile (concrete),Stucco,Wood-frame
1,85,47.0,1.0,Gable,Asphalt shingles (3-tab),Stucco,Wood-frame
2,105,42.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,90,56.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,110,48.0,2.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
1,105,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,32.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,95,37.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,16.0,3.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,2.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,110,39.0,2.0,Hip,Slate,Stucco,Structural steel
2,105,41.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,43.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,90,13.0,1.0,Hip,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
1,85,32.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,40.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,35.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,72.0,1.0,Hip,Metal shingle,Wood Siding,Wood-frame
1,95,15.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,95,42.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,37.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,95,41.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,90,32.0,2.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
1,95,44.0,1.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Structural steel
0,85,68.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,95,20.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,90,38.0,1.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,90,13.0,1.0,Gable,Metal shingle,Stucco,Wood-frame
0,95,5.0,1.0,Gambrel,Continuous Surface,Hardie Board Siding,Wood-frame
2,95,39.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,32.0,2.0,Hip,Tile (concrete),Stucco,Wood-frame
1,85,38.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,16.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,29.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,105,4.0,2.0,Complex,Metal shingle,Stucco,Wood-frame
0,85,7.0,2.0,Gable/Hip,Metal shingle,Wood Siding,Wood-frame
2,105,19.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,105,52.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,32.0,1.0,Gable,Asphalt shingles (3-tab),Stucco,Masonry
0,95,4.0,2.0,Hip,Continuous Surface,Wood Siding,Wood-frame
0,80,77.0,1.0,Complex,Asphalt shingles (3-tab),Stucco,Wood-frame
0,105,33.0,2.0,Gambrel,Metal shingle,Stucco,Wood-frame
1,95,55.0,1.0,Gable,Metal shingle,Brick Veneer,Wood-frame
1,100,12.0,2.0,Complex,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
1,90,36.0,2.0,Complex,Asphalt shingles (3-tab),Stucco,Wood-frame
2,105,48.0,1.0,Gable,Asphalt shingles (3-tab),Stucco,Wood-frame
1,90,28.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,38.0,1.0,Gable,Continuous Surface,Wood Siding,Wood-frame
1,85,33.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
0,105,37.0,2.0,Gable,Metal shingle,Wood Siding,Wood-frame
0,105,10.0,2.0,Complex,Metal shingle,Wood Siding,Wood-frame
1,100,34.0,2.0,Complex,Tile (concrete),Stucco,Wood-frame
1,85,9.0,1.0,Hip,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,95,34.0,2.0,Gable,Metal shingle,Wood Siding,Wood-frame
2,105,50.0,1.0,Gable,Shingles-Wood,Wood Siding,Wood-frame
0,110,48.0,2.0,Flat,Continuous Surface,Wood Siding,Wood-frame
0,80,12.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
2,105,21.0,1.0,Gable,Continuous Surface,Sheet metal,Wood-frame
1,90,20.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,43.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,18.0,1.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
2,5,40.0,1.0,Flat,Metal shingle,Sheet metal,Structural steel
0,110,5.0,2.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
1,100,31.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,85,72.0,1.0,Gable,Continuous Surface,Wood Siding,Wood-frame
0,100,34.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,33.0,3.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,42.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,54.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,11.0,2.0,Gable,Metal shingle,Wood Siding,Wood-frame
2,40,46.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,41.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,105,55.0,2.0,Gable,Tile (clay),Stucco,Masonry
1,95,2.0,2.0,Complex,Metal shingle,Wood Siding,Wood-frame
1,105,32.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,14.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,35.0,2.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,85,31.0,4.0,Complex,Metal shingle,Stucco,Concrete
2,105,36.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,14.0,2.0,Gable,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,100,10.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,37.0,1.0,Flat,Continuous Surface,Vinyl Siding,Wood-frame
0,110,12.0,2.0,Hip,Metal shingle,Stucco,Wood-frame
1,95,52.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,29.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,6.0,1.0,Hip,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
1,95,40.0,1.0,Gambrel,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,38.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,22.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,100,16.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
2,105,50.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
