id,latitude,longitude,PGA
333,37.78782009,-122.394933364,0.515
456,37.790419474,-122.39469904800002,0.512
293,37.787440706,-122.395870224,0.517
624,37.78679485,-122.39281338699999,0.514
430,37.789663433,-122.39840561300001,0.518
377,37.790630217,-122.396684284,0.514
365,37.790311077,-122.39884409499999,0.518
358,37.788194573,-122.39361372,0.513
490,37.789543853,-122.391818689,0.509
350,37.77433514,-122.41805398399998,0.572
506,37.789473917,-122.39687036999999,0.516
117,37.777794822,-122.41338805000001,0.558
44,37.774864585,-122.41799612100002,0.571
261,37.789707111,-122.395045592,0.513
618,37.787015086,-122.39506555299998,0.517
1,37.790934745,-122.40343480100002,0.524
588,37.786916213,-122.392118458,0.513
315,37.786634408,-122.398296563,0.522
196,37.776222472,-122.417380796,0.568
23,37.788651504,-122.39807833900001,0.519
55,37.776811167,-122.415232623,0.563
16,37.785943332,-122.39356355,0.516
443,37.777628878,-122.413167865,0.558
611,37.788507922,-122.39150120099998,0.51
81,37.788425954,-122.392218846,0.511
183,37.781123654000005,-122.41890758100001,0.562
271,37.785588382,-122.39200097700001,0.514
396,37.785570213,-122.398807927,0.524
425,37.78602212,-122.403126765,0.53
220,37.778048502,-122.41261257800001,0.557
451,37.790162691,-122.396108241,0.514
435,37.788516675,-122.398215586,0.519
603,37.781673276,-122.40496138200001,0.539
105,37.785988987,-122.401466962,0.527
322,37.786226594,-122.39202683,0.513
274,37.789469803,-122.391190328,0.508
452,37.789252835,-122.39066019899998,0.507
463,37.786687472,-122.39349177900002,0.515
468,37.787081194,-122.40177632200002,0.526
507,37.785962578,-122.389078504,0.51
31,37.786658589,-122.39069681000001,0.511
211,37.78800635,-122.39205561900002,0.511
101,37.788545555,-122.400258744,0.522
557,37.790304431,-122.390964217,0.507
614,37.788525599,-122.399354047,0.521
362,37.788384374,-122.401451306,0.524
519,37.793493388,-122.398678082,0.513
203,37.788377963,-122.39909199,0.521
243,37.78521078,-122.40051450600001,0.527
324,37.789725783,-122.394757579,0.513
239,37.786191177,-122.40366118,0.53
622,37.791815687,-122.400375814,0.518
417,37.791087255,-122.39375388000002,0.509
148,37.79379736400001,-122.40350248100002,0.52
236,37.79319812600001,-122.404671361,0.523
551,37.791485568,-122.392501194,0.507
108,37.791350794,-122.39408442400001,0.51
466,37.794606884,-122.40043483800001,0.514
258,37.790967701,-122.391860093,0.507
626,37.789637069,-122.38998123200001,0.506
501,37.785961552,-122.405042868,0.533
145,37.793679987,-122.40063005700001,0.516
600,37.78904302,-122.397535382,0.517
391,37.789333109,-122.394330255,0.513
38,37.791639162,-122.39434572499998,0.51
416,37.78529632400001,-122.397931341,0.523
423,37.785411124,-122.40938025200002,0.54
478,37.788767054,-122.403163796,0.526
482,37.790412413,-122.40316099600001,0.524
173,37.789584782,-122.39972117400002,0.52
560,37.79207969,-122.39831054100001,0.515
504,37.790490074,-122.398246538,0.516
399,37.792343181,-122.40085312299999,0.518
64,37.794253198,-122.40360525599999,0.52
633,37.791985258,-122.393961643,0.509
575,37.784473685,-122.409191596,0.541
266,37.786201156,-122.40308915899999,0.53
338,37.791544287,-122.393597931,0.509
151,37.79025308,-122.39721786200002,0.515
419,37.790289808000004,-122.401038364,0.521
572,37.793464757,-122.40255661600001,0.519
385,37.777172012,-122.415675276,0.563
615,37.795046861,-122.40376746700001,0.519
128,37.793812125,-122.399489432,0.514
402,37.790831947,-122.39453130600002,0.511
214,37.789516719,-122.39865265999998,0.518
374,37.790225653,-122.402351823,0.523
528,37.792781498,-122.40430052399999,0.523
269,37.792529537,-122.39846800800001,0.514
17,37.794673635,-122.403697239,0.519
24,37.794901465,-122.401899402,0.516
467,37.789396975,-122.403049303,0.525
182,37.795048165,-122.39647931600001,0.508
184,37.791493896,-122.39918753899998,0.517
608,37.790982287,-122.39711309900001,0.514
109,37.790592238,-122.40218353,0.522
398,37.793205607,-122.40102009500002,0.517
141,37.792199401,-122.397343558,0.513
558,37.789249923,-122.400454013,0.521
634,37.793026925,-122.394434159,0.508
70,37.774490591,-122.41711557400001,0.57
352,37.793604586,-122.39383101,0.506
630,37.794581651,-122.396240681,0.509
26,37.79002963,-122.42156120099999,0.554
335,37.789412995,-122.40804589199999,0.532
11,37.776863275,-122.419041385,0.569
427,37.790880956,-122.39806521,0.516
326,37.794900333,-122.40300796500001,0.518
62,37.792772357,-122.39883698900002,0.514
470,37.79019478,-122.399184552,0.518
223,37.789344817,-122.400256617,0.521
171,37.793789171,-122.397520904,0.511
516,37.784658194,-122.396434558,0.522
118,37.794899395,-122.39883255700002,0.512
414,37.794955173,-122.404502709,0.52
116,37.78523381,-122.410802283,0.543
526,37.794933837,-122.39771804000002,0.51
485,37.791488843,-122.39581491200002,0.512
264,37.793182439,-122.4015972,0.518
547,37.789319049,-122.40710248899998,0.531
281,37.791880023,-122.40408483199998,0.523
100,37.794397126,-122.40221473600002,0.517
393,37.787508477,-122.409354565,0.537
469,37.788614588,-122.402781858,0.526
410,37.79445071,-122.400002898,0.514
488,37.7929339,-122.40123268,0.518
13,37.798262024,-122.41535475800002,0.533
86,37.790918291,-122.396332631,0.513
341,37.785628198,-122.426984767,0.57
6,37.794560735,-122.400927427,0.515
502,37.791825581000005,-122.40040224199998,0.518
431,37.7930143,-122.39734801000002,0.512
522,37.791272456,-122.404687727,0.525
308,37.80522625100001,-122.42501754,0.542
255,37.805429954,-122.424393213,0.54
593,37.795965217,-122.399088879,0.511
113,37.798614261,-122.413287298,0.53
77,37.789527461,-122.401967325,0.523
370,37.793096313,-122.40896111500001,0.529
316,37.789640897,-122.399884185,0.52
120,37.784808461,-122.42428188599999,0.566
5,37.79266831,-122.405369088,0.524
617,37.777354099,-122.417578092,0.566
503,37.798967376,-122.41672143699999,0.535
491,37.790489341,-122.429692293,0.568
454,37.792685022,-122.41221151700002,0.535
146,37.784254468,-122.39870505599998,0.526
290,37.792713174,-122.409435577,0.53
555,37.792005547,-122.39908756300001,0.516
627,37.79148699200001,-122.414573992,0.54
76,37.796230184,-122.39853233100001,0.51
302,37.796640415,-122.399245484,0.51
564,37.79217306900001,-122.404849942,0.524
47,37.786108751,-122.40978272100001,0.54
477,37.781658682,-122.418195627,0.56
527,37.790779503,-122.400104064,0.519
559,37.76239346,-122.45793445200002,0.678
306,37.791771953,-122.39979724799998,0.517
72,37.789090253,-122.408059106,0.533
534,37.790156025,-122.40209643900002,0.522
441,37.792737917,-122.40092330200001,0.518
320,37.791586539,-122.40126903000001,0.519
351,37.789924511,-122.407671335,0.531
373,37.781374331,-122.413892999,0.554
535,37.798136582,-122.41727265799999,0.537
525,37.791786640000005,-122.40268274800002,0.521
212,37.789666432,-122.402236182,0.523
386,37.790881786,-122.414462231,0.541
282,37.791164698,-122.410486668,0.534
342,37.786505638,-122.399770639,0.524
22,37.792291262,-122.39636212500001,0.512
343,37.790881577,-122.40103557700002,0.52
382,37.79192899,-122.40317134000001,0.522
54,37.793355747,-122.39488528,0.508
94,37.778657198,-122.41953322000002,0.567
56,37.789567894,-122.40166810099998,0.523
176,37.785933703000005,-122.40512023100001,0.533
464,37.787049942,-122.40357645600001,0.529
585,37.794691694,-122.392950833,0.504
363,37.788313651,-122.402966935,0.526
